# Device/Package xc7v2000tfhg1761 8/18/2011 15:46:50                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
V39   IO_L19P_T3_18                 3                  18    2             2                   HP        NA
V40   IO_L19N_T3_VREF_18            3                  18    2             2                   HP        NA
T40   IO_L20P_T3_18                 3                  18    2             2                   HP        NA
T41   IO_L20N_T3_18                 3                  18    2             2                   HP        NA
W41   IO_L21P_T3_DQS_18             3                  18    2             2                   HP        NA
W42   IO_L21N_T3_DQS_18             3                  18    2             2                   HP        NA
U41   IO_L22P_T3_18                 3                  18    2             2                   HP        NA
T42   IO_L22N_T3_18                 3                  18    2             2                   HP        NA
W38   IO_L23P_T3_18                 3                  18    2             2                   HP        NA
V38   IO_L23N_T3_18                 3                  18    2             2                   HP        NA
V41   IO_L24P_T3_18                 3                  18    2             2                   HP        NA
U42   IO_L24N_T3_18                 3                  18    2             2                   HP        NA
W35   IO_25_VRP_18                  NA                 18    2             2                   HP        NA
L36   IO_0_VRN_19                   NA                 19    2             2                   HP        NA
E40   IO_L1P_T0_19                  0                  19    2             2                   HP        NA
D40   IO_L1N_T0_19                  0                  19    2             2                   HP        NA
A40   IO_L2P_T0_19                  0                  19    2             2                   HP        NA
