# Device/Package xc7vx690tffg1761 12/21/2011 15:15:51                                                                                                   

!Pin  Pin_Name                      Memory_Byte_Group  Bank  VCCAUX_Group  Super_Logic_Region  I/O_Type  No-Connect
N35   IO_0_VRN_18                   NA                 18    2             NA                  HP        NA
T34   IO_L1P_T0_18                  0                  18    2             NA                  HP        NA
R35   IO_L1N_T0_18                  0                  18    2             NA                  HP        NA
N33   IO_L2P_T0_18                  0                  18    2             NA                  HP        NA
N34   IO_L2N_T0_18                  0                  18    2             NA                  HP        NA
R33   IO_L3P_T0_DQS_18              0                  18    2             NA                  HP        NA
R34   IO_L3N_T0_DQS_18              0                  18    2             NA                  HP        NA
P35   IO_L4P_T0_18                  0                  18    2             NA                  HP        NA
P36   IO_L4N_T0_18                  0                  18    2             NA                  HP        NA
T32   IO_L5P_T0_18                  0                  18    2             NA                  HP        NA
R32   IO_L5N_T0_18                  0                  18    2             NA                  HP        NA
P32   IO_L6P_T0_18                  0                  18    2             NA                  HP        NA
P33   IO_L6N_T0_VREF_18             0                  18    2             NA                  HP        NA
T36   IO_L7P_T1_18                  1                  18    2             NA                  HP        NA
R37   IO_L7N_T1_18                  1                  18    2             NA                  HP        NA
P37   IO_L8P_T1_18                  1                  18    2             NA                  HP        NA
P38   IO_L8N_T1_18                  1                  18    2             NA                  HP        NA
U34   IO_L9P_T1_DQS_18              1                  18    2             NA                  HP        NA
T35   IO_L9N_T1_DQS_18              1                  18    2             NA                  HP        NA
R38   IO_L10P_T1_18                 1                  18    2             NA                  HP        NA
R39   IO_L10N_T1_18                 1                  18    2             NA                  HP        NA
U37   IO_L11P_T1_SRCC_18            1                  18    2             NA                  HP        NA
U38   IO_L11N_T1_SRCC_18            1                  18    2             NA                  HP        NA
U39   IO_L12P_T1_MRCC_18            1                  18    2             NA                  HP        NA
T39   IO_L12N_T1_MRCC_18            1                  18    2             NA                  HP        NA
U36   IO_L13P_T2_MRCC_18            2                  18    2             NA                  HP        NA
T37   IO_L13N_T2_MRCC_18            2                  18    2             NA                  HP        NA
V35   IO_L14P_T2_SRCC_18            2                  18    2             NA                  HP        NA
V36   IO_L14N_T2_SRCC_18            2                  18    2             NA                  HP        NA
V33   IO_L15P_T2_DQS_18             2                  18    2             NA                  HP        NA
V34   IO_L15N_T2_DQS_18             2                  18    2             NA                  HP        NA
W36   IO_L16P_T2_18                 2                  18    2             NA                  HP        NA
W37   IO_L16N_T2_18                 2                  18    2             NA                  HP        NA
U32   IO_L17P_T2_18                 2                  18    2             NA                  HP        NA
U33   IO_L17N_T2_18                 2                  18    2             NA                  HP        NA
W32   IO_L18P_T2_18                 2                  18    2             NA                  HP        NA
W33   IO_L18N_T2_18                 2                  18    2             NA                  HP        NA
V39   IO_L19P_T3_18                 3                  18    2             NA                  HP        NA
V40   IO_L19N_T3_VREF_18            3                  18    2             NA                  HP        NA
T40   IO_L20P_T3_18                 3                  18    2             NA                  HP        NA
T41   IO_L20N_T3_18                 3                  18    2             NA                  HP        NA
W41   IO_L21P_T3_DQS_18             3                  18    2             NA                  HP        NA
W42   IO_L21N_T3_DQS_18             3                  18    2             NA                  HP        NA
U41   IO_L22P_T3_18                 3                  18    2             NA                  HP        NA
